"id","type","keyword","page","internal_link","title","category","address1","address2","postal_code","memo","site"
11,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0131044205227551299029&recuid=M2VTR3SUWZXRJUISACRXJ4CDMVXP6UHYCJTQBDYWXESO2ALEAI&niceid=%C3%84rzte-Fach%C3%A4rzte-f%C3%BCr-Allgemeinmedizin-Dr-Susanne-K%C3%B6hler-Dr-T-Mattes-Dr-J-Br%C3%BChl-Wagh%C3%A4usel-Kirrlach-Obere-Bachstra%C3%9Fe&buc=131&verlNr=101&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=10,"Ärzte + Fachärzte für Allgemeinmedizin Dr.Susanne Köhler,  Dr. T. Mattes, Dr. J. Brühl *",Fachärzte für Allgemeinmedizin,Obere Bachstraße 1,"Waghäusel, Kirrlach","68753","68753 Waghäusel, Kirrlach",https://www.dasoertliche.de
12,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0770044220532552508929&recuid=NWXD3ZKRXVVB7VAZLLCXPPA2PNV7IVPTC5WFVTI2RVRO26LAAI&niceid=%C3%84rzte-Fach%C3%A4rzte-f%C3%BCr-Allgemeinmedizin-Dr-Susanne-K%C3%B6hler-Dr-T-Mattes-Dr-J-Br%C3%BChl-Wagh%C3%A4usel-Kirrlach-Obere-Bachstra%C3%9Fe&buc=770&verlNr=101&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=11,"Ärzte + Fachärzte für Allgemeinmedizin Dr.Susanne Köhler,  Dr. T. Mattes, Dr. J. Brühl *",Fachärzte für Allgemeinmedizin,Obere Bachstraße 1,"Waghäusel, Kirrlach","68753","68753 Waghäusel, Kirrlach",https://www.dasoertliche.de
13,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0525108836580559595652&recuid=5L6B5AQF7U4LRJV6DANU67KY4U6DQLSU5YHDCJI5OECEH5IC&niceid=%C3%84RZTEGEMEINSCHAFT-IN-MAIKAMMER-GdbR-Maikammer-Marktstr&buc=525&verlNr=123&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=12,ÄRZTEGEMEINSCHAFT IN MAIKAMMER GdbR,Fachärzte für Innere Medizin,Marktstr. 43,Maikammer,"67487","67487 Maikammer",https://www.dasoertliche.de
14,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0822102705072554417974&recuid=LNIICW6KJSKCSKRP4DON7EVGJTMIPLNZ5FNK3D7XZLPWMAQ&niceid=%C3%84rztehaus-am-See-Drs-Zeller-H-u-Sander-D-Internisten-Waging-a-See-Waging-am-See-Postgasse&buc=822&verlNr=120&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=13,Ärztehaus am See - Drs. Zeller H. u. Sander D. Internisten,Fachärzte für Innere Medizin,Postgasse 1,"Waging a.See, Waging am See","83329","83329 Waging a.See, Waging am See",https://www.dasoertliche.de
15,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0094548540397559248569&recuid=NJOEH3XCHCMBQJQ6WGO7Z5V4NDAIDQMJQP5F3C7NWLF3BJV7LUBA&niceid=%C3%84rztehaus-Biberach-Biberach-an-der-Ri%C3%9F-Zeppelinring&buc=94&verlNr=214&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=14,Ärztehaus Biberach *,Gesundheitszentren,Zeppelinring 7,Biberach an der Riß,"88400","88400 Biberach an der Riß",https://www.dasoertliche.de
16,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0094548540399559248569&recuid=TMNAKH5EZHPOSYHP6VWLUB72TGDHBB3YYUFRWIU5IWGEDYCODMBA&niceid=%C3%84rztehaus-Biberach-Biberach-an-der-Ri%C3%9F-Zeppelinring&buc=94&verlNr=214&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=15,Ärztehaus Biberach,Gesundheitszentren,Zeppelinring 7,Biberach an der Riß,"88400","88400 Biberach an der Riß",https://www.dasoertliche.de
17,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0485214073384527027320&recuid=LFPZZYJEXWNSWJJN6665HEOQK7R7NTXOT5L77FVDTDCNXECRAI&niceid=%C3%84rztehaus-Donaustra%C3%9Fe-Internistisches-Facharztzentrum-Memmingen-Amendingen-Donaustr&buc=485&verlNr=106&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=16,"Ärztehaus Donaustraße, Internistisches Facharztzentrum",Fachärzte für Innere Medizin,Donaustr. 78,"Memmingen, Amendingen","87700","87700 Memmingen, Amendingen",https://www.dasoertliche.de
18,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0316109052760558126439&recuid=TFOCE5L67OMOWJXNQQXZSVOFSC3D7CTU4SMIIP6WDTDUJEU4AI&niceid=%C3%84rztehaus-HD-West-Heidelberg-Weststadt-Franz-Knauff-Str&buc=316&verlNr=123&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=17,Ärztehaus HD-West,Ärztehäuser,Franz-Knauff-Str. 2,"Heidelberg, Weststadt","69115","69115 Heidelberg, Weststadt",https://www.dasoertliche.de
19,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0395011580677555449064&recuid=UD27FFVN6QY5FD6UOBTGYZCKVNUW47YV44SV6SZ2HLHQE&niceid=%C3%84rztehaus-Sophienhof-Kiel-Kiel-Exerzierplatz-Herzog-Friedrich-Str&buc=395&verlNr=129&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=18,Ärztehaus Sophienhof Kiel,Fachärzte für Orthopädie,Herzog-Friedrich-Str. 21,"Kiel, Exerzierplatz","24103","24103 Kiel, Exerzierplatz",https://www.dasoertliche.de
20,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0857935551226552509002&recuid=WV6AL4HXSC4MOBWBQYALUMUAVWQHJLBSVMSX2T65HWWU7FBJOMBA&niceid=%C3%84rztehaus-Zuffenhausen-Stuttgart-Zuffenhausen-Ludwigsburger-Str&buc=857&verlNr=1133&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=19,Ärztehaus Zuffenhausen *,Praktische Ärzte,Ludwigsburger Str. 100,"Stuttgart, Zuffenhausen","70435","70435 Stuttgart, Zuffenhausen",https://www.dasoertliche.de
21,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0819001544255556660937&recuid=UYW74HDDQDU5IV6SSI5IEJGGWHUQTZDFSST3CR5VL2OB525IAI&niceid=%C3%84rztezentrum-am-Tegernsee-medicum-tegernsee-Wei%C3%9Fach-Wei%C3%9Fach-Tegernseer-Str&buc=819&verlNr=104&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=20,Ärztezentrum am Tegernsee/ medicum.tegernsee,Fachärzte für Allgemeinmedizin,Tegernseer Str. 100,"Weißach, Weißach","83700","83700 Weißach, Weißach",https://www.dasoertliche.de
22,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0300011309734432586691&recuid=7DFXOIZUHUHYVMMMNVWQ4KAW6B7QCDJ5PP3G2HIRG5I4EAQ&niceid=%C3%84rztliche-Osteopathie-und-Chiropraktik-Martin-Sch%C3%B6nwald-Osteopathie-Chiropraktik-Sportmedizin-Ern%C3%A4hrungsmedizin-Hamburg-Neugraben-Fischbek-Falkenbergsweg&buc=300&verlNr=129&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=21,Ärztliche Osteopathie und Chiropraktik Martin Schönwald Osteopathie Chiropraktik Sportmedizin Ernährungsmedizin,Osteopathie,Falkenbergsweg 3,"Hamburg, Neugraben-Fischbek","21149","21149 Hamburg, Neugraben-Fischbek",https://www.dasoertliche.de
23,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0517906387389554755805&recuid=4SL5BYPPETLIH4UKFJDRMSI65NZVYHLXF7SSU6ZVEVQDWAHNAI&niceid=Agena-Dr-Weithoff-Neum%C3%BCnster-Innenstadt-Gro%C3%9Fflecken&buc=517&verlNr=129&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=22,"Agena Dr. , Weithoff",Fachärzte für Allgemeinmedizin,Großflecken 26,"Neumünster, Innenstadt","24534","24534 Neumünster, Innenstadt",https://www.dasoertliche.de
24,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0602019334151528921631&recuid=Q5QYAYHSFIQOAD7C4YL7SXVDS3QRDFJ7OMAMSZU3CPRV42YC&niceid=Agnes-Karll-Krankenhaus-Laatzen-Grasdorf-Hildesheimer-Str&buc=602&verlNr=147&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=23,Agnes-Karll-Krankenhaus,Fachärzte für Allgemeinchirurgie,Hildesheimer Str. 158,"Laatzen, Grasdorf","30880","30880 Laatzen, Grasdorf",https://www.dasoertliche.de
25,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0235219053044559249105&recuid=R4QBIHJULBQ4Q6VP2ROLOLWMRHRBDERNYMPSCXUWL6DU6GQC&niceid=AGZ-Alpirsbacher-Gesundheits-Zentrum-Alpirsbach-Bahnhofstr&buc=235&verlNr=214&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=24,AGZ Alpirsbacher-Gesundheits-Zentrum,Ergotherapie,Bahnhofstr. 21,Alpirsbach,"72275","72275 Alpirsbach",https://www.dasoertliche.de
26,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0750102951283474408862&recuid=KQCTJDU6XFCBYJIR627P76HPIHT2TFGCSPCQJTE4UTANPW75BABA&niceid=AH-Entr%C3%BCmpelung-und-Anh%C3%A4ngervermietung-Weilheim-Amselweg&buc=750&verlNr=120&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=0,AH Entrümpelung und Anhängervermietung,Entrümpelungen,Amselweg 10,Weilheim,"82362","82362 Weilheim",https://www.dasoertliche.de
27,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=1112011360074554323660&recuid=36XHNV4N43X3PXF2MRIQKFYA75QDK6J4DHPGIMLTCA2OKAQ&niceid=Ahrenholz-Brigitte-Dr-Chirurgie-Brzezinski-Jan-Dr-med-Unfallchirurg-Chirurgie-Unfallchirurg-Werder-Havel-Bernhard-Kellermann-Str&buc=1112&verlNr=1131&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=1,"Ahrenholz Brigitte Dr. Chirurgie ,  Brzezinski Jan Dr.med. Unfallchirurg",Fachärzte für Allgemeinchirurgie,Bernhard-Kellermann-Str. 17,Werder (Havel),"14542","14542 Werder (Havel)",https://www.dasoertliche.de
28,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0327000496504559162194&recuid=A6KSMJLG33KG7Z3CNW2WXESXBYYNW6FSEIDG3YKTZUHT2AQ&niceid=Ahrens-Kortenbruck-Dorothee-Dr-Kortenbruck-Bernhard-Dr-med-%C3%84rzte-f%C3%BCr-Innere-Medizin-Herten-S%C3%BCd-In-der-Feige&buc=327&verlNr=161&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=2,"Ahrens-Kortenbruck Dorothee Dr. ,  Kortenbruck Bernhard Dr.med. Ärzte für Innere Medizin",Fachärzte für Allgemeinmedizin,In der Feige 62 A,"Herten, Süd","45699","45699 Herten, Süd",https://www.dasoertliche.de
29,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0047002043473553029023&recuid=AY6W7ELI3R6G2TTT5SHJJCUSA7HLTLPLR2LDZIXC2O767M3NAI&niceid=Aksu-M-Dr-med-Facharzt-f%C3%BCr-Orthop%C3%A4die-Unfallchirurgie-BG-Notf%C3%A4lle-Bad-Homburg-v-d-H%C3%B6he-H%C3%B6hestr&buc=47&verlNr=115&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=3,Aksu M. Dr.med. Facharzt für Orthopädie Unfallchirurgie BG-Notfälle,Fachärzte für Orthopädie,Höhestr. 31-33,Bad Homburg v. d. Höhe,"61348","61348 Bad Homburg v. d. Höhe",https://www.dasoertliche.de
30,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0298011182435519161129&recuid=2NUSMNKITIULQHN2RJMY4RN73PAWDXI33HOYUUN2DTZ6SAQ&niceid=Aktivion-MVZ-Dr-Soyka-Partner-Fach%C3%A4rzte-f%C3%BCr-Orthop%C3%A4die-Hamburg-Lohbr%C3%BCgge-Alte-Holstenstr&buc=298&verlNr=129&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=4,"Aktivion MVZ, Dr.Soyka & Partner Fachärzte für Orthopädie",Fachärzte für Orthopädie und Unfallchirurgie,Alte Holstenstr. 2,"Hamburg, Lohbrügge","21031","21031 Hamburg, Lohbrügge",https://www.dasoertliche.de
31,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0298011243800519161129&recuid=UVSAAIXZOAS64MHM7RHY4M5SVWFBXJDA2SV7YR5SNL7J6AQ&niceid=AKTIVION-Praxisgemeinschaft-Hamburg-Lohbr%C3%BCgge-Alte-Holstenstr&buc=298&verlNr=129&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=5,AKTIVION Praxisgemeinschaft,Akupunktur,Alte Holstenstr. 2,"Hamburg, Lohbrügge","21031","21031 Hamburg, Lohbrügge",https://www.dasoertliche.de
32,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0181685790403559264883&recuid=GBDZM53THQDFWM2ZQT6YHWXDGWH3XKMKKXZ25GOWVV6QE&niceid=AktiVita-Duderstadt-Duderstadt-Duderstadt-Brandenburger-Stra%C3%9Fe&buc=181&verlNr=147&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=6,AktiVita Duderstadt,Fitnesstraining,Brandenburger Straße 1,"Duderstadt, Duderstadt","37115","37115 Duderstadt, Duderstadt",https://www.dasoertliche.de
33,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0505906266169557606706&recuid=OPO5QEM6C2OB7PYWMTZSTIIBPUK7OMNMO56WJH2BUVQ4QIL3AI&niceid=Albersmeier-Konrad-Dr-med-u-Marx-Monika-Dr-med-Privat%C3%A4rztliche-Praxis-M%C3%BCnster-Piusallee&buc=505&verlNr=166&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=7,Albersmeier Konrad Dr. med. u. Marx Monika Dr. med. Privatärztliche Praxis,Fachärzte für Allgemeinmedizin,Piusallee 20-22,Münster,"48147","48147 Münster",https://www.dasoertliche.de
34,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0788091934859522791064&recuid=F5XHJJY2DQXUGDCK4WPKZQEZHGD2PGHDPTR3FCFBSSKNAYYC&niceid=Albert-Martin-Dr-med-Blessing-Tim-Maghary-Jonas-W%C3%BCrzburg-Altstadt-Kaiserstr&buc=788&verlNr=122&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=8,"Albert Martin Dr.med., Blessing Tim ,  Maghary Jonas",Akupunktur,Kaiserstr. 27,"Würzburg, Altstadt","97070","97070 Würzburg, Altstadt",https://www.dasoertliche.de
35,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0453906454693557264168&recuid=FTKFIMZKGGKUBNS6OGOW7W2OEEAL25X5MMWXDAKS6BU3CUREAI&niceid=Albrecht-Dieter-Dr-Arzt-f%C3%BCr-Orthop%C3%A4die-Sportmed-Physik-Therapie-u-Chiroth-Lippstadt-Kernstadt-Erwitter-Str&buc=453&verlNr=166&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=9,"Albrecht Dieter Dr. Arzt für Orthopädie,  Sportmed.,  Physik. Therapie u. Chiroth.",Fachärzte für Orthopädie und Unfallchirurgie,Erwitter Str. 1,"Lippstadt, Kernstadt","59557","59557 Lippstadt, Kernstadt",https://www.dasoertliche.de
36,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0368901666575542663180&recuid=Y5VYZNUFUAVKWCNV4QU6SZNVZWFD7722YHE6ICOOH33TZL6BAI&niceid=Albrecht-Henning-Dr-med-Orthop%C3%A4dische-Praxis-Iserlohn-Zentrum-Wallstr&buc=368&verlNr=131&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=10,Albrecht Henning Dr.med. Orthopädische Praxis,Fachärzte für Orthopädie und Unfallchirurgie,Wallstr. 31,"Iserlohn, Zentrum","58638","58638 Iserlohn, Zentrum",https://www.dasoertliche.de
37,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0184032982530493761401&recuid=HBHBU2VIGMHVIKS5ZTKK74PDHWWJBKER7E4ZRHMKW3JQEAQ&niceid=Alder-Christian-Dr-med-Arzt-f%C3%BCr-Innere-Medizin-und-Sportmedizin-D%C3%BCsseldorf-Bilk-Brunnenstr&buc=184&verlNr=102&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=11,Alder Christian Dr.med. Arzt für Innere Medizin und Sportmedizin,Fachärzte für Innere Medizin,Brunnenstr. 4,"Düsseldorf, Bilk","40223","40223 Düsseldorf, Bilk",https://www.dasoertliche.de
38,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0164906250385554755416&recuid=R3OWWOTVOGOOFO7PJRXWWJZ3RILAYGBXZ4PWYUJ5HJJHXXYC&niceid=Alfa-Chirurgie-Abdallah-Alfalouji-Arzt-f%C3%BCr-Chirurgie-Delbr%C3%BCck-Lange-Str&buc=164&verlNr=166&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=12,Alfa Chirurgie Abdallah Alfalouji Arzt für Chirurgie,Fachärzte für Allgemeinchirurgie,Lange Str. 12,Delbrück,"33129","33129 Delbrück",https://www.dasoertliche.de
39,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0164906295813554755416&recuid=CMB4IGIU2BBH6ZLSQ3L3VOXFC7EJDRVKCGLJP4PDU6GOMAIC&niceid=Alfalouji-Abdallah-Dr-med-syr-Alfa-Chirurgie-Delbr%C3%BCck-Lange-Str&buc=164&verlNr=166&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=13,Alfalouji Abdallah Dr.med.(syr.) Alfa Chirurgie,Chirurgie,Lange Str. 12,Delbrück,"33129","33129 Delbrück",https://www.dasoertliche.de
40,Standardsuche,Sportärzte,2,https://www.dasoertliche.de/?form_name=detail&id=0182906425390558730101&recuid=4OQFZWJQ6PQY7SMNBZBWUUYJ4ZEEAQBDC7RA42YHMIWWKPXAAI&niceid=Alina-Kr%C3%BCger-Praxis-f%C3%BCr-Physiotherapie-D%C3%BClmen-M%C3%BChlenweg&buc=182&verlNr=166&kw=Sportärzte&recFrom=26&pagePos=2&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=14,Alina Krüger Praxis für Physiotherapie,Sportmedizin,Mühlenweg 2,Dülmen,"48249","48249 Dülmen",https://www.dasoertliche.de
